,word1_id,word2_id,count
0,47972,7297,6
1,47972,8891,5
2,47972,28187,5
3,8786,31993,19
4,8786,27355,4
5,8786,32839,3
6,38922,906,357
7,38922,27026,133
8,38922,28819,132
9,27681,47972,1
10,15199,906,54
11,15199,12617,29
12,15199,28819,27
13,2426,8209,191
14,2426,28819,158
15,2426,43556,75
16,5980,45162,1
17,12161,906,833
18,12161,27026,473
19,12161,32839,450
20,45710,906,71
21,45710,31176,33
22,45710,19082,25
23,45162,5218,3
24,45162,33867,3
25,45162,33653,2
26,38380,4935,44
27,38380,906,30
28,38380,18429,24
29,36470,46979,8
30,36470,8352,8
31,36470,18349,3
32,13417,906,89
33,13417,36324,62
34,13417,31176,54
35,44865,36470,1
36,44865,1768,1
37,44865,47951,1
38,21172,108,3
39,21172,24756,2
40,21172,44847,2
41,20000,906,1599
42,20000,27026,682
43,20000,31176,635
44,10188,36470,1
45,10188,44865,1
46,39951,26474,3
47,39951,8594,3
48,39951,36470,1
49,10244,37891,2
50,10244,36470,1
51,10244,44865,1
52,3250,34185,23
53,3250,906,19
54,3250,5176,13
55,30635,906,19
56,30635,41263,19
57,30635,32839,16
58,683,23614,2
59,683,9818,1
60,683,23862,1
61,47901,683,1
62,23005,6584,128
63,23005,906,79
64,23005,32412,48
65,41737,906,32
66,41737,6584,19
67,41737,44431,16
68,47615,15214,6
69,47615,34566,3
70,47615,23357,3
71,22114,34721,2
72,22114,42687,2
73,22114,13280,1
74,13280,22114,1
75,13280,15214,1
76,31545,15214,2
77,31545,6821,2
78,31545,7279,2
79,17407,32896,31
80,17407,906,18
81,17407,8209,17
82,13113,22114,1
83,13113,13280,1
84,13113,15214,1
85,15214,721,10
86,15214,24815,10
87,15214,10385,10
88,27526,22114,1
89,27526,13280,1
90,27526,15214,1
91,21073,906,224
92,21073,32839,135
93,21073,32412,117
94,19927,32051,2
95,19927,35083,2
96,19927,1594,2
97,18102,21414,1
98,18102,20775,1
99,18102,22877,1
100,21414,42175,2
101,21414,20775,1
102,21414,22877,1
103,20775,10168,17
104,20775,32412,11
105,20775,906,9
106,22877,906,31
107,22877,46366,13
108,22877,35652,12
109,47827,22877,114
110,47827,906,72
111,47827,7822,62
112,43724,21414,1
113,43724,20775,1
114,43724,22877,1
115,10192,9199,10
116,10192,18363,8
117,10192,32839,6
118,39876,38536,8
119,39876,906,5
120,39876,13624,4
121,1705,21414,1
122,1705,20775,1
123,1705,22877,1
124,7973,36324,13
125,7973,906,8
126,7973,6556,7
127,42788,20220,33
128,42788,26005,19
129,42788,20281,17
130,30906,37052,2
131,30906,553,2
132,30906,37883,2
133,4895,24848,1
134,4895,906,1
135,24848,12887,12
136,24848,10867,6
137,24848,4834,3
138,33564,27026,133
139,33564,18269,56
140,33564,36555,49
141,29670,24848,1
142,29670,906,1
143,11478,24848,1
144,11478,906,1
145,9816,13030,160
146,9816,24848,1
147,9816,906,1
148,34574,43456,9
149,34574,32940,5
150,34574,14984,3
151,38008,906,179
152,38008,33253,96
153,38008,32839,65
154,32167,27219,2
155,32167,3105,2
156,32167,40048,2
157,906,18429,80
158,906,32839,52
159,906,31176,32
160,618,32839,2
161,618,35927,2
162,618,12887,2
163,43082,43456,3
164,43082,31437,2
165,43082,8695,2
166,8263,18805,4
167,8263,43428,4
168,8263,906,3
169,11076,32172,3
170,11076,24497,3
171,11076,3393,3
172,30824,9199,55
173,30824,906,27
174,30824,31176,23
175,12489,906,8
176,12489,7297,8
177,12489,32839,5
178,16673,20242,27
179,16673,15243,25
180,16673,22234,16
181,32516,32412,24
182,32516,44739,21
183,32516,11871,18
184,34546,2194,7
185,34546,44420,4
186,34546,11363,3
187,16154,34421,41
188,16154,906,30
189,16154,36494,26
190,33908,2383,9
191,33908,19069,9
192,33908,22164,3
193,34709,10287,20
194,34709,33069,4
195,34709,12617,4
196,47141,20775,82
197,47141,906,55
198,47141,27026,24
199,22427,906,18
200,22427,12617,11
201,22427,43884,9
202,25553,5854,5
203,25553,12489,4
204,25553,721,4
205,3499,906,107
206,3499,34421,105
207,3499,3085,80
208,29165,906,112
209,29165,12064,51
210,29165,32839,42
211,36227,906,33
212,36227,27026,23
213,36227,12887,23
214,12895,1105,11
215,12895,23457,6
216,12895,30569,6
217,15614,21024,2
218,15614,25400,1
219,15614,46313,1
220,18977,906,190
221,18977,32412,74
222,18977,28819,47
223,1643,15614,1
224,1643,25400,1
225,1643,46313,1
226,25400,15614,1
227,25400,46313,1
228,25400,33796,1
229,46313,15614,1
230,46313,25400,1
231,46313,7749,1
232,47030,4710,5
233,47030,38913,4
234,47030,38522,4
235,616,32896,59
236,616,906,59
237,616,15214,47
238,19233,36195,16
239,19233,906,13
240,19233,17600,11
241,539,906,491
242,539,32839,423
243,539,28819,255
244,26673,7288,2
245,26673,15614,1
246,26673,25400,1
247,42560,31000,6
248,42560,906,4
249,42560,9713,4
250,41871,30021,16
251,41871,19733,14
252,41871,15604,9
253,40223,40234,4
254,40223,25325,2
255,40223,40718,2
256,43156,14419,20
257,43156,31000,10
258,43156,32412,8
259,777,906,11
260,777,32412,8
261,777,3105,5
262,34282,34414,2
263,34282,23149,1
264,34282,18349,1
265,23149,4840,5
266,23149,7753,5
267,23149,34282,1
268,30756,35429,25
269,30756,23822,18
270,30756,18349,15
271,18349,9788,5
272,18349,9199,5
273,18349,23822,4
274,23822,35429,8
275,23822,9218,6
276,23822,33159,6
277,42736,32839,50
278,42736,41768,27
279,42736,30021,8
280,47022,30629,30
281,47022,906,13
282,47022,28819,11
283,30702,34282,1
284,30702,23149,1
285,30702,18349,1
286,8521,12887,78
287,8521,2660,71
288,8521,906,66
289,10168,8709,7
290,10168,45355,7
291,10168,906,6
292,920,10168,1
293,920,45861,1
294,920,11271,1
295,42374,26075,7
296,42374,23953,6
297,42374,1814,4
298,24825,906,40
299,24825,32839,23
300,24825,25018,23
301,41956,34034,3
302,41956,35199,3
303,41956,45646,3
304,45861,33253,2
305,45861,25988,2
306,45861,10168,1
307,36272,906,132
308,36272,39049,67
309,36272,27026,51
310,11271,10168,1
311,11271,45861,1
312,11271,40767,1
313,17664,32923,4
314,17664,10168,1
315,17664,45861,1
316,45457,32923,4
317,45457,6584,3
318,45457,1783,3
319,15759,35652,3
320,15759,15063,3
321,15759,15698,1
322,29247,906,26
323,29247,32839,14
324,29247,46519,13
325,27635,32846,30
326,27635,15034,10
327,27635,41187,4
328,4282,39049,37
329,4282,32846,31
330,4282,906,20
331,15698,7998,2
332,15698,15759,1
333,15698,28840,1
334,12358,906,51
335,12358,32839,36
336,12358,31176,24
337,21888,906,23
338,21888,26275,5
339,21888,23314,5
340,9433,906,262
341,9433,28819,104
342,9433,32839,91
343,46758,15214,18
344,46758,8839,8
345,46758,40060,8
346,30109,15698,1
347,30109,28840,1
348,30109,31176,1
